,인덱스,분류,주소,위도,경도
172,170.0,부속기관,서울시 서대문구 창천동 490번지 홍익사랑빌딩 4층 404호,37.56122655815556,126.92726013299894
173,171.0,부속기관,"서울시 서대문구 창천동 490번지 홍익사랑빌딩 5층 501호,502호",37.56122655815556,126.92726013299894
174,172.0,부속기관,서울시 서대문구 창천동 506-20번지 아륭빌딩 지하1층 제2호,37.558524401048956,126.92862542285512
175,173.0,부속기관,서울시 서초구 효령로 50 서천빌딩 2층전체,37.478666210776915,126.99007355467181
176,174.0,부속기관,서울시 성동구 행당동 147 삼부아파트 상가 201동 303호,37.559927539300006,127.0375486409122
177,175.0,부속기관,"서울시 영등포구 대림동 960-4번지 2층,3층",37.49164148416289,126.90814980997206
178,176.0,부속기관,"서울특별시 구로구 경인로 342, 3층",37.49697291190413,126.85820947066729
179,177.0,부속기관,"서울특별시 구로구 경인로 342, 4층",37.49697291190413,126.85820947066729
180,178.0,부속기관,서울특별시 성동구 왕십리로 280 삼부아파트상가 201동 306호,37.559927539300006,127.0375486409122
181,179.0,부속기관,안산시 단원구 고잔동 542-2 우진빌딩 310~311호,37.31735435720588,126.84230667427875
182,180.0,부속기관,안산시 단원구 고잔동 542-2 우진빌딩 312-2호,37.31735435720588,126.84230667427875
183,181.0,부속기관,안산시 단원구 고잔동 542-2 우진빌딩 312호,37.31735435720588,126.84230667427875
184,182.0,부속기관,안산시 단원구 고잔동 542-2 우진빌딩 313호,37.31735435720588,126.84230667427875
185,183.0,부속기관,안산시 단원구 고잔로 122 유림빌딩 401호,37.3186378417128,126.83993031875787
186,184.0,부속기관,울산광역시 남구 무거동 931-1 제2동 제2층 제201호,35.54140412682327,129.25262971869483
187,185.0,부속기관,인천광역시 계양구 계산동 304-2번지 6층,37.53693815362867,126.72862333199495
188,186.0,부속기관,인천광역시 남구 주안동 1543-11외 2필지 2층,37.457231332439356,126.69171740792355
189,187.0,부속기관,인천광역시 남동구 만수1동 983번지 신명상가 3층,37.449836803060215,126.73202583345105
190,188.0,부속기관,인천광역시 남동구 만수동960-4 2층 201호,37.4535767424945,126.73475208061646
191,189.0,부속기관,인천광역시 남동구 만수동968-3 2층,37.45052244685132,126.73241215839577
192,190.0,부속기관,인천광역시 남동구 만수동981-1 제2층 201호,37.4498541257584,126.73171837422358
193,191.0,부속기관,"인천광역시 미추홀구 구월로 8번길 16, 3층 302호",37.457231332439356,126.69171740792355
194,192.0,부속기관,인천광역시 부평구 산곡동 251-1 5층 전층,37.500231124658335,126.70304418089003
195,193.0,부속기관,"인천광역시 부평구 산곡동 369-246번지 3층,4층 ",37.49162652119388,126.70519504368218
196,194.0,부속기관,"인천광역시 부평구 산곡동 371-19 2층,3층,4층",37.493788280224145,126.70349487213744
197,195.0,부속기관,인천광역시 서구 심곡동 257-1번지 2층,37.541954562020436,126.67431455239432
198,196.0,부속기관,인천광역시 서구 연희동 686-4번지 계정빌딩5층,37.55018509403776,126.6765873073675
199,197.0,부속기관,인천광역시 연수구 연수동 568-9 6층 ,37.41891118833188,126.67882007698161
200,198.0,부속기관,인천광역시 주안동 1592-2 세일빌딩 3층,37.459106241408975,126.69341416725587
201,199.0,부속기관,인천광역시 계양구 계산동 988-6 4층 전체,37.536618638727,126.72294915872544
202,200.0,부속기관,인천광역시 계양구 계양대로 82(작전동) 4층 408호,37.53126331115573,126.72303685072629
